sentence_id,token_id,token,tag,,,,추가는 exp로 바꾸는게 좋을듯.
0,2,[CLS],O,,,,"주문, 선택이 다 exp라서.."
0,6681,조금,O,,,,
0,3280,전,O,,,,
0,4073,##에,O,,,,
0,4034,##는,O,,,,
0,2677,모,B-MENU,,,,
0,4554,##츠,I-MENU,,,,
0,4065,##나,I-MENU,,,,
0,4295,##베,I-MENU,,,,
0,13612,야마,O,,,,
0,23103,##나카,O,,,,
0,4168,##밖,O,,,,
0,4073,##에,O,,,,
0,3123,없,O,,,,
0,4480,##었,O,,,,
0,18781,##는데,O,,,,
0,6292,지금,O,,,,
0,4112,##은,O,,,,
0,2631,많,O,,,,
0,4112,##은,O,,,,
0,2677,모,B-MENU,,,,
0,4554,##츠,I-MENU,,,,
0,4065,##나,I-MENU,,,,
0,4295,##베,I-MENU,,,,
0,8280,가게,O,,,,
0,4070,##가,O,,,,
0,8559,생겼,O,,,,
0,4576,##습,O,,,,
0,6216,##니다,O,,,,
0,18,.,O,,,,
0,3,[SEP],O,,,,
1,2,[CLS],O,,,,
1,14984,하지,O,,,,
1,4172,##만,O,,,,
1,6511,역시,O,,,,
1,13612,야마,O,,,,
1,23103,##나카,O,,,,
1,4234,##의,O,,,,
1,2637,맛,O,,,,
1,4007,##이,O,,,,
1,7731,제일,O,,,,
1,3311,좋,O,,,,
1,4576,##습,O,,,,
1,6216,##니다,O,,,,
1,18,.,O,,,,
1,3,[SEP],O,,,,
2,2,[CLS],O,,,,
2,7422,혼자,B-PP,,,,
2,4129,##서,O,,,,
2,2677,모,B-MENU,,,,
2,4554,##츠,I-MENU,,,,
2,4065,##나,I-MENU,,,,
2,4295,##베,I-MENU,,,,
2,4110,##를,O,,,,
2,8175,즐기,O,,,,
2,4034,##는,O,,,,
2,2048,것,O,,,,
2,4086,##도,O,,,,
2,6557,최고,O,,,,
2,10561,##입니다,O,,,,
2,18,.,O,,,,
2,3,[SEP],O,,,,
3,2,[CLS],O,,,,
3,6796,부담,O,,,,
3,6419,없이,O,,,,
3,13612,야마,O,,,,
3,23103,##나카,O,,,,
3,4073,##에,O,,,,
3,13776,가세,O,,,,
3,4150,##요,O,,,,
3,18,.,O,,,,
3,3,[SEP],O,,,,
4,2,[CLS],O,,,,
4,6511,역시,O,,,,
4,3441,챤,B-MENU,,,,
4,4248,##폰,I-MENU,,,,
4,10749,##으로,O,,,,
4,7669,마무리,O,,,,
4,4398,##했,O,,,,
4,4576,##습,O,,,,
4,6216,##니다,O,,,,
4,18,.,O,,,,
